CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,MG/M^3,,UE/m^2/sec,
151.9,2,7.2555,2,33.6003,2,197.6,2,66.8,2,0.049,2,0.139,2,,2
153.0,2,7.2536,2,33.6113,2,197.0,2,66.8,2,0.049,2,0.134,2,,2
154.0,2,7.2585,2,33.6204,2,196.9,2,66.8,2,0.049,2,0.149,2,,2
155.0,2,7.2564,2,33.6341,2,196.5,2,66.8,2,0.049,2,0.131,2,,2
156.1,2,7.2471,2,33.6505,2,195.9,2,66.9,2,0.045,2,0.138,2,,2
157.0,2,7.2363,2,33.6555,2,194.6,2,66.9,2,0.042,2,0.141,2,,2
157.9,2,7.2321,2,33.6636,2,193.6,2,66.9,2,0.040999999999999995,2,0.11900000000000001,2,,2
159.0,2,7.2258,2,33.6743,2,193.6,2,66.9,2,0.039,2,0.125,2,,2
160.0,2,7.2225,2,33.6853,2,193.6,2,67.0,2,0.037000000000000005,2,0.10400000000000001,2,,2
161.0,2,7.2199,2,33.6935,2,193.3,2,66.9,2,0.037000000000000005,2,0.105,2,,2
162.1,2,7.2187,2,33.6959,2,192.9,2,66.9,2,0.037000000000000005,2,0.141,2,,2
163.1,2,7.218999999999999,2,33.6993,2,191.0,2,66.9,2,0.039,2,0.13,2,,2
163.9,2,7.2206,2,33.7043,2,188.4,2,66.9,2,0.037000000000000005,2,0.125,2,,2
165.0,2,7.2252,2,33.7178,2,187.4,2,66.9,2,0.037000000000000005,2,0.149,2,,2
166.0,2,7.2259,2,33.7281,2,187.0,2,66.8,2,0.037000000000000005,2,0.131,2,,2
167.0,2,7.2245,2,33.7342,2,186.6,2,66.9,2,0.037000000000000005,2,0.134,2,,2
168.0,2,7.2247,2,33.7398,2,186.1,2,67.0,2,0.037000000000000005,2,0.138,2,,2
169.0,2,7.2267,2,33.7427,2,185.9,2,67.0,2,0.037000000000000005,2,0.127,2,,2
170.0,2,7.2352,2,33.7465,2,185.9,2,67.0,2,0.037000000000000005,2,0.11900000000000001,2,,2
171.0,2,7.2473,2,33.7613,2,185.8,2,67.0,2,0.036000000000000004,2,0.131,2,,2
172.0,2,7.2416,2,33.7642,2,185.6,2,67.0,2,0.024,2,0.128,2,,2
173.0,2,7.2368,2,33.7656,2,185.4,2,67.0,2,0.037000000000000005,2,0.12300000000000001,2,,2
174.0,2,7.2366,2,33.7662,2,185.3,2,67.0,2,0.036000000000000004,2,0.126,2,,2
175.0,2,7.2367,2,33.7662,2,185.5,2,67.0,2,0.037000000000000005,2,0.14800000000000002,2,,2
176.0,2,7.2363,2,33.7671,2,185.5,2,67.0,2,0.037000000000000005,2,0.13,2,,2
177.0,2,7.2269,2,33.7689,2,185.0,2,67.0,2,0.034,2,0.12300000000000001,2,,2
178.0,2,7.2176,2,33.7693,2,184.1,2,66.9,2,0.037000000000000005,2,0.127,2,,2
179.0,2,7.2,2,33.7739,2,182.9,2,67.0,2,0.035,2,0.131,2,,2
180.0,2,7.1841,2,33.7851,2,181.4,2,67.0,2,0.032,2,0.11,2,,2
181.0,2,7.1586,2,33.811,2,178.9,2,67.0,2,0.026000000000000002,2,0.115,2,,2
182.0,2,7.1509,2,33.8171,2,176.5,2,67.0,2,0.024,2,0.121,2,,2
183.0,2,7.1426,2,33.8236,2,174.9,2,67.0,2,0.024,2,0.132,2,,2
184.0,2,7.1377,2,33.8294,2,174.0,2,66.8,2,0.028999999999999998,2,0.133,2,,2
185.0,2,7.1199,2,33.8355,2,173.5,2,66.7,2,0.031,2,0.107,2,,2
186.0,2,7.0893,2,33.8404,2,173.3,2,67.0,2,0.024,2,0.12,2,,2
187.0,2,7.0739,2,33.8419,2,173.0,2,67.0,2,0.024,2,0.12,2,,2
