CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,UE/m^2/sec,
360,2,5.23,2,33.9911,2,53.4,2,54.5,2,,2
361,2,5.1649,2,33.9837,2,53.9,2,54.5,2,,2
362,2,5.1455,2,33.9835,2,54.2,2,54.5,2,,2
363,2,5.136,2,33.9828,2,54.9,2,54.5,2,,2
364,2,5.1336,2,33.9838,2,55.7,2,54.5,2,,2
365,2,5.1533,2,33.9894,2,57.0,2,54.5,2,,2
366,2,5.2287,2,34.0044,2,56.7,2,54.5,2,,2
367,2,5.2065,2,34.0045,2,56.4,2,54.5,2,,2
368,2,5.2076,2,34.0094,2,55.5,2,54.5,2,,2
369,2,5.2153,2,34.0109,2,53.7,2,54.5,2,,2
371,2,5.2139,2,34.014,2,51.8,2,54.5,2,,2
372,2,5.2096,2,34.0155,2,51.7,2,54.5,2,,2
373,2,5.2066,2,34.0185,2,51.0,2,54.5,2,,2
374,2,5.2062,2,34.0198,2,50.0,2,54.5,2,,2
