CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,MG/M^3,,UE/m^2/sec,
126,2,7.3543,2,33.7823,2,,2,0.5660000000000001,2,,2
127,2,7.3493,2,33.7869,2,,2,0.569,2,,2
128,2,7.3403,2,33.7923,2,,2,0.5670000000000001,2,,2
129,2,7.3296,2,33.7975,2,,2,0.5670000000000001,2,,2
130,2,7.3179,2,33.8033,2,,2,0.5670000000000001,2,,2
131,2,7.3042,2,33.8092,2,,2,0.5670000000000001,2,,2
132,2,7.2735,2,33.8196,2,,2,0.569,2,,2
133,2,7.2634,2,33.8229,2,,2,0.5670000000000001,2,,2
134,2,7.2628,2,33.8229,2,,2,0.5660000000000001,2,,2
135,2,7.2594,2,33.8241,2,,2,0.5670000000000001,2,,2
137,2,7.2202,2,33.8354,2,,2,0.5710000000000001,2,,2
138,2,7.2076,2,33.8389,2,,2,0.569,2,,2
139,2,7.1787,2,33.8458,2,,2,0.57,2,,2
140,2,7.1641,2,33.8489,2,,2,0.57,2,,2
141,2,7.1577,2,33.85,2,,2,0.568,2,,2
142,2,7.1507,2,33.8512,2,,2,0.5720000000000001,2,,2
143,2,7.1436,2,33.8524,2,,2,0.569,2,,2
144,2,7.1315,2,33.8551,2,,2,0.5710000000000001,2,,2
145,2,7.1281,2,33.8564,2,,2,0.573,2,,2
146,2,7.1104,2,33.8594,2,,2,0.573,2,,2
147,2,7.0966,2,33.8616,2,,2,0.574,2,,2
148,2,7.0894,2,33.8629,2,,2,0.573,2,,2
149,2,7.0819,2,33.8639,2,,2,0.573,2,,2
150,2,7.0724,2,33.8654,2,,2,0.5760000000000001,2,,2
151,2,7.0671,2,33.8662,2,,2,0.5760000000000001,2,,2
152,2,7.0611,2,33.8672,2,,2,0.579,2,,2
153,2,7.0528,2,33.8681,2,,2,0.5770000000000001,2,,2
154,2,7.046,2,33.8693,2,,2,0.5770000000000001,2,,2
155,2,7.0391,2,33.8713,2,,2,0.5760000000000001,2,,2
156,2,7.0177,2,33.873000000000005,2,,2,0.575,2,,2
157,2,6.9836,2,33.8772,2,,2,0.575,2,,2
158,2,6.9746,2,33.8784,2,,2,0.5720000000000001,2,,2
159,2,6.97,2,33.8789,2,,2,0.575,2,,2
160,2,6.9601,2,33.8797,2,,2,0.5760000000000001,2,,2
161,2,6.9566,2,33.8806,2,,2,0.575,2,,2
162,2,6.9505,2,33.8816,2,,2,0.5770000000000001,2,,2
163,2,6.946000000000001,2,33.8814,2,,2,0.5770000000000001,2,,2
164,2,6.9373,2,33.882,2,,2,0.5770000000000001,2,,2
165,2,6.9267,2,33.883,2,,2,0.575,2,,2
166,2,6.9245,2,33.8833,2,,2,0.575,2,,2
167,2,6.9236,2,33.8835,2,,2,0.579,2,,2
168,2,6.9133,2,33.8841,2,,2,0.5760000000000001,2,,2
169,2,6.9009,2,33.8849,2,,2,0.578,2,,2
170,2,6.8923,2,33.8875,2,,2,0.5820000000000001,2,,2
171,2,6.8773,2,33.8877,2,,2,0.5770000000000001,2,,2
172,2,6.8667,2,33.8883,2,,2,0.579,2,,2
173,2,6.8581,2,33.889,2,,2,0.578,2,,2
174,2,6.8542,2,33.8891,2,,2,0.579,2,,2
175,2,6.8523,2,33.8896,2,,2,0.579,2,,2
176,2,6.8513,2,33.8899,2,,2,0.578,2,,2
177,2,6.85,2,33.8899,2,,2,0.5770000000000001,2,,2
178,2,6.837000000000001,2,33.8902,2,,2,0.578,2,,2
179,2,6.8302,2,33.8914,2,,2,0.579,2,,2
180,2,6.8165,2,33.8915,2,,2,0.579,2,,2
181,2,6.8023,2,33.8923,2,,2,0.58,2,,2
182,2,6.7877,2,33.8928,2,,2,0.579,2,,2
183,2,6.7712,2,33.8926,2,,2,0.581,2,,2
184,2,6.7628,2,33.8934,2,,2,0.581,2,,2
185,2,6.7601,2,33.8937,2,,2,0.5820000000000001,2,,2
186,2,6.7539,2,33.894,2,,2,0.58,2,,2
187,2,6.7386,2,33.8957,2,,2,0.581,2,,2
188,2,6.7258,2,33.8958,2,,2,0.581,2,,2
189,2,6.7147,2,33.8965,2,,2,0.58,2,,2
190,2,6.7018,2,33.8972,2,,2,0.5820000000000001,2,,2
191,2,6.692,2,33.8979,2,,2,0.581,2,,2
192,2,6.6889,2,33.8979,2,,2,0.5820000000000001,2,,2
193,2,6.6786,2,33.8987,2,,2,0.581,2,,2
194,2,6.652,2,33.8995,2,,2,0.581,2,,2
195,2,6.6472,2,33.9,2,,2,0.58,2,,2
196,2,6.6384,2,33.8999,2,,2,0.581,2,,2
197,2,6.6235,2,33.9002,2,,2,0.581,2,,2
198,2,6.6063,2,33.9011,2,,2,0.5820000000000001,2,,2
199,2,6.5974,2,33.9013,2,,2,0.5820000000000001,2,,2
200,2,6.5841,2,33.9023,2,,2,0.583,2,,2
201,2,6.5727,2,33.9039,2,,2,0.581,2,,2
202,2,6.5574,2,33.904,2,,2,0.581,2,,2
203,2,6.545,2,33.9047,2,,2,0.585,2,,2
204,2,6.5408,2,33.9049,2,,2,0.5820000000000001,2,,2
205,2,6.5364,2,33.9049,2,,2,0.584,2,,2
206,2,6.525,2,33.9051,2,,2,0.586,2,,2
207,2,6.5035,2,33.9062,2,,2,0.585,2,,2
208,2,6.4818,2,33.9082,2,,2,0.584,2,,2
209,2,6.4767,2,33.9086,2,,2,0.585,2,,2
210,2,6.475,2,33.9091,2,,2,0.583,2,,2
211,2,6.4676,2,33.9097,2,,2,0.586,2,,2
212,2,6.4537,2,33.9101,2,,2,0.586,2,,2
213,2,6.4218,2,33.9108,2,,2,0.586,2,,2
214,2,6.4123,2,33.9118,2,,2,0.586,2,,2
215,2,6.4078,2,33.9118,2,,2,0.586,2,,2
216,2,6.3998,2,33.9119,2,,2,0.586,2,,2
217,2,6.3917,2,33.9122,2,,2,0.589,2,,2
218,2,6.3865,2,33.9131,2,,2,0.588,2,,2
219,2,6.3835,2,33.913000000000004,2,,2,0.59,2,,2
220,2,6.3787,2,33.9131,2,,2,0.589,2,,2
221,2,6.3737,2,33.9136,2,,2,0.5920000000000001,2,,2
222,2,6.3673,2,33.9138,2,,2,0.589,2,,2
223,2,6.3574,2,33.9142,2,,2,0.59,2,,2
224,2,6.3495,2,33.9144,2,,2,0.5870000000000001,2,,2
225,2,6.3459,2,33.9144,2,,2,0.589,2,,2
226,2,6.3432,2,33.9147,2,,2,0.589,2,,2
227,2,6.3403,2,33.9147,2,,2,0.59,2,,2
228,2,6.3309,2,33.9148,2,,2,0.59,2,,2
229,2,6.3149,2,33.916,2,,2,0.591,2,,2
230,2,6.3086,2,33.9169,2,,2,0.591,2,,2
231,2,6.3006,2,33.9167,2,,2,0.591,2,,2
232,2,6.2907,2,33.9166,2,,2,0.591,2,,2
233,2,6.2766,2,33.9178,2,,2,0.59,2,,2
234,2,6.2561,2,33.9191,2,,2,0.591,2,,2
235,2,6.2321,2,33.9208,2,,2,0.59,2,,2
236,2,6.2233,2,33.9213,2,,2,0.59,2,,2
237,2,6.2192,2,33.9212,2,,2,0.59,2,,2
238,2,6.2088,2,33.9222,2,,2,0.59,2,,2
239,2,6.1998,2,33.9224,2,,2,0.59,2,,2
240,2,6.1921,2,33.9227,2,,2,0.5920000000000001,2,,2
241,2,6.1826,2,33.9231,2,,2,0.591,2,,2
242,2,6.1629,2,33.9233,2,,2,0.5920000000000001,2,,2
243,2,6.1512,2,33.9244,2,,2,0.5920000000000001,2,,2
244,2,6.1437,2,33.9253,2,,2,0.5920000000000001,2,,2
245,2,6.1405,2,33.9256,2,,2,0.594,2,,2
246,2,6.1299,2,33.9259,2,,2,0.5920000000000001,2,,2
247,2,6.1051,2,33.9283,2,,2,0.593,2,,2
248,2,6.0958,2,33.929,2,,2,0.593,2,,2
249,2,6.0832,2,33.9294,2,,2,0.593,2,,2
250,2,6.0636,2,33.9311,2,,2,0.591,2,,2
251,2,6.0445,2,33.9326,2,,2,0.593,2,,2
252,2,6.0364,2,33.9335,2,,2,0.593,2,,2
253,2,6.0312,2,33.9341,2,,2,0.595,2,,2
254,2,6.0233,2,33.9344,2,,2,0.594,2,,2
255,2,6.0169,2,33.9352,2,,2,0.595,2,,2
256,2,6.0117,2,33.936,2,,2,0.596,2,,2
257,2,6.0065,2,33.936,2,,2,0.594,2,,2
258,2,5.9954,2,33.9364,2,,2,0.595,2,,2
259,2,5.9778,2,33.9379,2,,2,0.597,2,,2
260,2,5.9685,2,33.9399,2,,2,0.597,2,,2
261,2,5.9651,2,33.9405,2,,2,0.595,2,,2
262,2,5.9552,2,33.941,2,,2,0.597,2,,2
263,2,5.9496,2,33.9431,2,,2,0.599,2,,2
264,2,5.9448,2,33.9434,2,,2,0.598,2,,2
265,2,5.9358,2,33.9451,2,,2,0.596,2,,2
266,2,5.9253,2,33.9456,2,,2,0.599,2,,2
267,2,5.9171,2,33.9453,2,,2,0.599,2,,2
268,2,5.9097,2,33.946,2,,2,0.599,2,,2
269,2,5.8942,2,33.9464,2,,2,0.6,2,,2
270,2,5.8845,2,33.9468,2,,2,0.6,2,,2
271,2,5.8664,2,33.9475,2,,2,0.599,2,,2
272,2,5.8447,2,33.9462,2,,2,0.6,2,,2
273,2,5.841,2,33.9472,2,,2,0.6,2,,2
274,2,5.8286,2,33.9464,2,,2,0.597,2,,2
275,2,5.8281,2,33.9509,2,,2,0.603,2,,2
276,2,5.8191,2,33.9525,2,,2,0.601,2,,2
277,2,5.8123,2,33.9526,2,,2,0.6,2,,2
278,2,5.8086,2,33.9531,2,,2,0.6,2,,2
279,2,5.8,2,33.954,2,,2,0.602,2,,2
280,2,5.7828,2,33.9541,2,,2,0.599,2,,2
281,2,5.7747,2,33.9543,2,,2,0.602,2,,2
282,2,5.7682,2,33.9554,2,,2,0.602,2,,2
283,2,5.7662,2,33.9571,2,,2,0.601,2,,2
284,2,5.7648,2,33.9573,2,,2,0.602,2,,2
285,2,5.7614,2,33.9588,2,,2,0.602,2,,2
286,2,5.7609,2,33.9592,2,,2,0.6,2,,2
287,2,5.7518,2,33.9601,2,,2,0.603,2,,2
288,2,5.7452,2,33.9607,2,,2,0.604,2,,2
289,2,5.7407,2,33.9614,2,,2,0.603,2,,2
290,2,5.7353,2,33.961999999999996,2,,2,0.602,2,,2
291,2,5.7301,2,33.9633,2,,2,0.605,2,,2
292,2,5.7233,2,33.964,2,,2,0.606,2,,2
293,2,5.7132,2,33.9655,2,,2,0.602,2,,2
294,2,5.6987,2,33.9661,2,,2,0.605,2,,2
295,2,5.6951,2,33.9664,2,,2,0.606,2,,2
296,2,5.6919,2,33.9668,2,,2,0.604,2,,2
297,2,5.6844,2,33.9675,2,,2,0.604,2,,2
298,2,5.6729,2,33.9677,2,,2,0.603,2,,2
299,2,5.6687,2,33.9673,2,,2,0.604,2,,2
300,2,5.662999999999999,2,33.9678,2,,2,0.604,2,,2
301,2,5.6608,2,33.9705,2,,2,0.606,2,,2
302,2,5.6637,2,33.9732,2,,2,0.604,2,,2
303,2,5.6629,2,33.9755,2,,2,0.605,2,,2
304,2,5.6621,2,33.9765,2,,2,0.606,2,,2
305,2,5.6604,2,33.977,2,,2,0.607,2,,2
306,2,5.6577,2,33.9779,2,,2,0.607,2,,2
307,2,5.6522,2,33.9786,2,,2,0.605,2,,2
308,2,5.6473,2,33.9794,2,,2,0.604,2,,2
309,2,5.6483,2,33.9806,2,,2,0.606,2,,2
310,2,5.6466,2,33.9808,2,,2,0.605,2,,2
311,2,5.6443,2,33.9807,2,,2,0.603,2,,2
312,2,5.6413,2,33.982,2,,2,0.604,2,,2
313,2,5.6339999999999995,2,33.9827,2,,2,0.604,2,,2
314,2,5.6301,2,33.9826,2,,2,0.604,2,,2
315,2,5.6256,2,33.9838,2,,2,0.606,2,,2
316,2,5.6265,2,33.9857,2,,2,0.607,2,,2
317,2,5.6296,2,33.9874,2,,2,0.604,2,,2
318,2,5.632000000000001,2,33.9886,2,,2,0.604,2,,2
319,2,5.6335,2,33.99,2,,2,0.604,2,,2
320,2,5.6334,2,33.9912,2,,2,0.606,2,,2
321,2,5.6287,2,33.9929,2,,2,0.605,2,,2
322,2,5.6241,2,33.9934,2,,2,0.605,2,,2
323,2,5.617999999999999,2,33.9923,2,,2,0.608,2,,2
324,2,5.6003,2,33.9907,2,,2,0.608,2,,2
325,2,5.5793,2,33.9891,2,,2,0.609,2,,2
326,2,5.5759,2,33.9891,2,,2,0.604,2,,2
327,2,5.5665,2,33.988,2,,2,0.605,2,,2
328,2,5.5333,2,33.9858,2,,2,0.606,2,,2
329,2,5.4987,2,33.9821,2,,2,0.606,2,,2
330,2,5.5023,2,33.9863,2,,2,0.61,2,,2
331,2,5.5514,2,33.9971,2,,2,0.609,2,,2
332,2,5.5536,2,33.9994,2,,2,0.608,2,,2
333,2,5.5388,2,33.9976,2,,2,0.608,2,,2
334,2,5.5318,2,33.9991,2,,2,0.608,2,,2
335,2,5.5444,2,34.0029,2,,2,0.607,2,,2
336,2,5.5487,2,34.0048,2,,2,0.608,2,,2
337,2,5.5408,2,34.0047,2,,2,0.609,2,,2
338,2,5.5364,2,34.0052,2,,2,0.609,2,,2
339,2,5.5286,2,34.0068,2,,2,0.608,2,,2
340,2,5.5155,2,34.0078,2,,2,0.61,2,,2
341,2,5.5087,2,34.008,2,,2,0.609,2,,2
342,2,5.5048,2,34.0093,2,,2,0.611,2,,2
343,2,5.5055,2,34.0099,2,,2,0.612,2,,2
344,2,5.5049,2,34.0102,2,,2,0.606,2,,2
345,2,5.5027,2,34.0107,2,,2,0.61,2,,2
346,2,5.5011,2,34.0114,2,,2,0.611,2,,2
347,2,5.4985,2,34.0118,2,,2,0.609,2,,2
348,2,5.4939,2,34.0123,2,,2,0.609,2,,2
349,2,5.486000000000001,2,34.0135,2,,2,0.607,2,,2
350,2,5.4758,2,34.0143,2,,2,0.608,2,,2
351,2,5.4644,2,34.0155,2,,2,0.611,2,,2
352,2,5.4631,2,34.0156,2,,2,0.61,2,,2
353,2,5.4629,2,34.0156,2,,2,0.609,2,,2
354,2,5.4617,2,34.0156,2,,2,0.609,2,,2
