CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,MG/M^3,,UE/m^2/sec,
154.0,2,8.3439,2,33.8571,2,118.0,2,,2,0.06,2,,2,0.0,2
155.0,2,8.3331,2,33.8609,2,117.3,2,,2,0.061,2,,2,0.0,2
156.0,2,8.324,2,33.8605,2,117.5,2,,2,0.06,2,,2,0.0,2
157.0,2,8.2899,2,33.8565,2,118.1,2,,2,0.059000000000000004,2,,2,0.0,2
158.0,2,8.2747,2,33.8536,2,118.9,2,,2,0.06,2,,2,0.0,2
159.0,2,8.2541,2,33.8511,2,119.4,2,,2,0.06,2,,2,0.0,2
160.0,2,8.2295,2,33.8485,2,119.8,2,,2,0.06,2,,2,0.0,2
161.0,2,8.2175,2,33.8474,2,120.0,2,,2,0.061,2,,2,0.0,2
162.0,2,8.2123,2,33.8473,2,120.0,2,,2,0.06,2,,2,0.0,2
163.0,2,8.2104,2,33.8472,2,120.1,2,,2,0.06,2,,2,0.0,2
164.0,2,8.21,2,33.8476,2,120.3,2,,2,0.06,2,,2,0.0,2
165.1,2,8.2089,2,33.848,2,119.9,2,,2,0.061,2,,2,0.0,2
166.0,2,8.206,2,33.8486,2,119.8,2,,2,0.059000000000000004,2,,2,0.0,2
167.0,2,8.2052,2,33.849000000000004,2,119.4,2,,2,0.06,2,,2,0.0,2
168.0,2,8.1999,2,33.8506,2,118.8,2,,2,0.06,2,,2,0.0,2
169.0,2,8.1929,2,33.8529,2,118.0,2,,2,0.06,2,,2,0.0,2
170.0,2,8.1662,2,33.8611,2,117.0,2,,2,0.061,2,,2,0.0,2
171.0,2,8.1451,2,33.8659,2,116.5,2,,2,0.06,2,,2,0.0,2
172.0,2,8.1372,2,33.8669,2,116.6,2,,2,0.06,2,,2,0.0,2
173.0,2,8.1307,2,33.8675,2,116.7,2,,2,0.061,2,,2,0.0,2
174.0,2,8.129,2,33.8677,2,116.9,2,,2,0.06,2,,2,0.0,2
175.0,2,8.1267,2,33.8681,2,116.9,2,,2,0.06,2,,2,0.0,2
176.0,2,8.1078,2,33.8725,2,116.4,2,,2,0.06,2,,2,0.0,2
177.0,2,8.0991,2,33.8773,2,115.7,2,,2,0.06,2,,2,0.0,2
178.0,2,8.0928,2,33.8782,2,115.4,2,,2,0.06,2,,2,0.0,2
179.0,2,8.0817,2,33.8797,2,115.7,2,,2,0.059000000000000004,2,,2,0.0,2
180.0,2,8.0722,2,33.8815,2,115.9,2,,2,0.06,2,,2,0.0,2
181.0,2,8.0489,2,33.8869,2,115.7,2,,2,0.06,2,,2,0.0,2
182.0,2,8.0326,2,33.89,2,115.2,2,,2,0.059000000000000004,2,,2,0.0,2
183.0,2,8.0214,2,33.8908,2,115.0,2,,2,0.06,2,,2,0.0,2
184.0,2,8.0123,2,33.8926,2,115.0,2,,2,0.06,2,,2,0.0,2
185.0,2,8.0075,2,33.8937,2,114.7,2,,2,0.059000000000000004,2,,2,0.0,2
186.0,2,8.0051,2,33.8952,2,113.9,2,,2,0.059000000000000004,2,,2,0.0,2
187.0,2,8.0046,2,33.8974,2,112.3,2,,2,0.06,2,,2,0.0,2
188.0,2,8.0049,2,33.9006,2,110.4,2,,2,0.059000000000000004,2,,2,0.0,2
189.0,2,7.9978,2,33.9028,2,108.6,2,,2,0.06,2,,2,0.0,2
190.0,2,7.9952,2,33.9048,2,107.1,2,,2,0.061,2,,2,0.0,2
191.0,2,7.9879,2,33.9064,2,106.7,2,,2,0.061,2,,2,0.0,2
192.0,2,7.9672,2,33.9094,2,107.2,2,,2,0.06,2,,2,0.0,2
193.0,2,7.9428,2,33.9113,2,107.7,2,,2,0.059000000000000004,2,,2,0.0,2
194.0,2,7.937,2,33.9118,2,108.1,2,,2,0.061,2,,2,0.0,2
195.0,2,7.9267,2,33.9122,2,108.4,2,,2,0.059000000000000004,2,,2,0.0,2
196.0,2,7.9066,2,33.913000000000004,2,108.6,2,,2,0.06,2,,2,0.0,2
196.9,2,7.8823,2,33.9199,2,108.0,2,,2,0.061,2,,2,0.0,2
198.2,2,7.8623,2,33.9224,2,106.8,2,,2,0.061,2,,2,0.0,2
199.0,2,7.852,2,33.924,2,106.4,2,,2,0.059000000000000004,2,,2,0.0,2
200.0,2,7.8479,2,33.925,2,106.0,2,,2,0.061,2,,2,0.0,2
201.0,2,7.8411,2,33.9266,2,105.8,2,,2,0.06,2,,2,0.0,2
202.0,2,7.8391,2,33.9271,2,105.6,2,,2,0.06,2,,2,0.0,2
203.0,2,7.8382,2,33.9271,2,105.6,2,,2,0.059000000000000004,2,,2,0.0,2
204.0,2,7.8279,2,33.9275,2,105.5,2,,2,0.059000000000000004,2,,2,0.0,2
205.0,2,7.7963,2,33.931,2,105.0,2,,2,0.06,2,,2,0.0,2
206.0,2,7.7873,2,33.9313,2,104.4,2,,2,0.06,2,,2,0.0,2
207.0,2,7.7807,2,33.9312,2,104.6,2,,2,0.06,2,,2,0.0,2
208.0,2,7.778,2,33.9308,2,104.9,2,,2,0.061,2,,2,0.0,2
209.0,2,7.7561,2,33.9317,2,105.2,2,,2,0.06,2,,2,0.0,2
210.0,2,7.7423,2,33.931,2,105.6,2,,2,0.059000000000000004,2,,2,0.0,2
211.0,2,7.7264,2,33.931,2,105.7,2,,2,0.06,2,,2,0.0,2
212.0,2,7.7166,2,33.931999999999995,2,105.3,2,,2,0.06,2,,2,0.0,2
213.0,2,7.702999999999999,2,33.9333,2,105.0,2,,2,0.059000000000000004,2,,2,0.0,2
214.0,2,7.691,2,33.9343,2,104.7,2,,2,0.06,2,,2,0.0,2
215.0,2,7.6739,2,33.9353,2,104.6,2,,2,0.059000000000000004,2,,2,0.0,2
216.0,2,7.6596,2,33.9359,2,104.4,2,,2,0.059000000000000004,2,,2,0.0,2
217.0,2,7.6531,2,33.9358,2,104.1,2,,2,0.059000000000000004,2,,2,0.0,2
218.0,2,7.6311,2,33.9379,2,103.8,2,,2,0.06,2,,2,0.0,2
218.9,2,7.5997,2,33.9424,2,103.3,2,,2,0.06,2,,2,0.0,2
220.1,2,7.5894,2,33.9421,2,102.7,2,,2,0.059000000000000004,2,,2,0.0,2
221.0,2,7.5855,2,33.9424,2,102.5,2,,2,0.06,2,,2,0.0,2
222.0,2,7.58,2,33.9432,2,102.3,2,,2,0.06,2,,2,0.0,2
223.0,2,7.5595,2,33.9425,2,102.3,2,,2,0.061,2,,2,0.0,2
224.0,2,7.5311,2,33.9437,2,102.4,2,,2,0.06,2,,2,0.0,2
225.0,2,7.52,2,33.9443,2,102.3,2,,2,0.06,2,,2,0.0,2
226.0,2,7.5083,2,33.9445,2,102.2,2,,2,0.06,2,,2,0.0,2
227.0,2,7.4974,2,33.9445,2,102.3,2,,2,0.059000000000000004,2,,2,0.0,2
228.0,2,7.4853,2,33.9436,2,102.3,2,,2,0.06,2,,2,0.0,2
229.0,2,7.4757,2,33.9436,2,102.2,2,,2,0.06,2,,2,0.0,2
230.0,2,7.461,2,33.944,2,102.1,2,,2,0.057999999999999996,2,,2,0.0,2
231.0,2,7.4465,2,33.9446,2,101.9,2,,2,0.06,2,,2,0.0,2
232.0,2,7.4397,2,33.9457,2,101.9,2,,2,0.06,2,,2,0.0,2
233.0,2,7.4201,2,33.9461,2,102.1,2,,2,0.06,2,,2,0.0,2
234.0,2,7.4067,2,33.946,2,102.0,2,,2,0.06,2,,2,0.0,2
235.0,2,7.3976,2,33.946,2,102.3,2,,2,0.061,2,,2,0.0,2
236.0,2,7.3889,2,33.9458,2,102.3,2,,2,0.06,2,,2,0.0,2
237.0,2,7.3772,2,33.9479,2,101.7,2,,2,0.062,2,,2,0.0,2
238.0,2,7.3636,2,33.9485,2,101.0,2,,2,0.059000000000000004,2,,2,0.0,2
239.0,2,7.3546,2,33.949,2,100.9,2,,2,0.061,2,,2,0.0,2
240.0,2,7.3475,2,33.9492,2,100.7,2,,2,0.06,2,,2,0.0,2
241.0,2,7.3423,2,33.9493,2,100.4,2,,2,0.06,2,,2,0.0,2
242.0,2,7.3256,2,33.9506,2,100.4,2,,2,0.061,2,,2,0.0,2
243.0,2,7.3218,2,33.9509,2,100.2,2,,2,0.06,2,,2,0.0,2
244.0,2,7.3131,2,33.9515,2,100.2,2,,2,0.061,2,,2,0.0,2
245.0,2,7.2948,2,33.954,2,99.3,2,,2,0.062,2,,2,0.0,2
246.0,2,7.2864,2,33.9552,2,99.0,2,,2,0.061,2,,2,0.0,2
247.0,2,7.2812,2,33.9557,2,98.6,2,,2,0.06,2,,2,0.0,2
248.0,2,7.2762,2,33.9565,2,98.4,2,,2,0.06,2,,2,0.0,2
249.0,2,7.2703,2,33.9568,2,98.2,2,,2,0.059000000000000004,2,,2,0.0,2
250.0,2,7.2588,2,33.9567,2,98.2,2,,2,0.061,2,,2,0.0,2
251.0,2,7.2433,2,33.9567,2,98.0,2,,2,0.06,2,,2,0.0,2
252.0,2,7.2125,2,33.9575,2,97.4,2,,2,0.06,2,,2,0.0,2
