CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
105,2,8.02,2,33.5931,2,132.3,2,63.9,2,0.121,2,,2
106,2,7.9742,2,33.598,2,133.9,2,63.9,2,0.134,2,,2
107,2,7.9482,2,33.6014,2,132.6,2,64.1,2,0.115,2,,2
108,2,7.9763,2,33.6157,2,130.0,2,63.6,2,0.109,2,,2
109,2,7.9887,2,33.6377,2,129.8,2,63.5,2,0.11599999999999999,2,,2
110,2,7.9947,2,33.6455,2,130.0,2,63.6,2,0.109,2,,2
111,2,7.9985,2,33.6487,2,129.9,2,63.9,2,0.109,2,,2
112,2,8.0008,2,33.6508,2,129.7,2,64.0,2,0.109,2,,2
113,2,8.0046,2,33.6534,2,127.3,2,64.1,2,0.109,2,,2
114,2,8.0238,2,33.6665,2,124.5,2,64.2,2,0.109,2,,2
115,2,8.0281,2,33.6707,2,120.3,2,64.6,2,0.109,2,,2
116,2,8.0199,2,33.6719,2,115.8,2,64.8,2,0.113,2,,2
117,2,7.919,2,33.6672,2,114.9,2,64.8,2,0.11599999999999999,2,,2
118,2,7.8348,2,33.6679,2,114.2,2,64.0,2,0.109,2,,2
119,2,7.832000000000001,2,33.6724,2,115.1,2,62.6,2,0.109,2,,2
120,2,7.8396,2,33.6778,2,114.9,2,62.0,2,0.11599999999999999,2,,2
121,2,7.8436,2,33.6809,2,114.9,2,61.9,2,0.113,2,,2
122,2,7.849,2,33.684,2,114.8,2,61.9,2,0.109,2,,2
123,2,7.8577,2,33.689,2,116.5,2,62.0,2,0.109,2,,2
124,2,7.8714,2,33.6958,2,117.5,2,62.3,2,0.11599999999999999,2,,2
125,2,7.8798,2,33.7003,2,120.1,2,62.3,2,0.109,2,,2
126,2,7.8867,2,33.7038,2,120.6,2,62.6,2,0.109,2,,2
127,2,7.8934,2,33.709,2,119.5,2,63.0,2,0.109,2,,2
128,2,7.9089,2,33.7279,2,120.1,2,63.2,2,0.109,2,,2
